Date,Stock Name,positive,negative,neutral,compound
9/30/21,TSLA,0.074,0.781,0.145,0.9996
10/1/21,TSLA,0.047,0.818,0.136,0.9998
10/2/21,TSLA,0.044,0.797,0.159,0.9999
10/3/21,TSLA,0.045,0.814,0.141,0.9996
10/4/21,TSLA,0.065,0.819,0.116,0.9993
10/5/21,TSLA,0.083,0.823,0.094,0.973
10/6/21,TSLA,0.059,0.793,0.148,0.9996
10/7/21,TSLA,0.047,0.845,0.108,0.9993
10/8/21,TSLA,0.054,0.8,0.146,0.9998
10/9/21,TSLA,0.05,0.792,0.159,0.9997
10/10/21,TSLA,0.034,0.832,0.134,0.9996
10/11/21,TSLA,0.067,0.795,0.138,0.9997
10/12/21,TSLA,0.061,0.807,0.131,0.9996
10/13/21,TSLA,0.068,0.805,0.127,0.9992
10/14/21,TSLA,0.037,0.881,0.082,0.9987
10/15/21,TSLA,0.087,0.796,0.118,0.999
10/16/21,TSLA,0.034,0.868,0.098,0.9985
10/17/21,TSLA,0.035,0.86,0.106,0.9994
10/18/21,TSLA,0.048,0.824,0.129,0.9999
10/19/21,TSLA,0.062,0.805,0.133,0.9998
10/20/21,TSLA,0.075,0.804,0.12,0.9996
10/21/21,TSLA,0.059,0.81,0.131,0.9999
10/22/21,TSLA,0.054,0.815,0.131,0.9998
10/23/21,TSLA,0.043,0.8,0.158,0.9997
10/24/21,TSLA,0.041,0.803,0.156,0.9996
10/25/21,TSLA,0.052,0.814,0.134,1
10/26/21,TSLA,0.054,0.821,0.125,0.9999
10/27/21,TSLA,0.047,0.846,0.107,0.9998
10/28/21,TSLA,0.043,0.859,0.098,0.9994
10/29/21,TSLA,0.054,0.834,0.112,0.9998
10/30/21,TSLA,0.03,0.816,0.155,0.9999
10/31/21,TSLA,0.046,0.788,0.166,0.9999
11/1/21,TSLA,0.059,0.798,0.144,1
11/2/21,TSLA,0.057,0.824,0.119,0.9999
11/3/21,TSLA,0.058,0.809,0.133,0.9998
11/4/21,TSLA,0.048,0.819,0.134,0.9999
11/5/21,TSLA,0.039,0.847,0.114,0.9995
11/6/21,TSLA,0.057,0.798,0.145,0.9998
11/7/21,TSLA,0.048,0.826,0.127,0.9999
11/8/21,TSLA,0.063,0.815,0.121,0.9999
11/9/21,TSLA,0.06,0.8,0.14,0.9999
11/10/21,TSLA,0.057,0.818,0.125,0.9999
11/11/21,TSLA,0.059,0.801,0.141,0.9999
11/12/21,TSLA,0.048,0.813,0.139,0.9999
11/13/21,TSLA,0.028,0.854,0.117,0.9995
11/14/21,TSLA,0.062,0.779,0.159,0.9998
11/15/21,TSLA,0.057,0.831,0.113,0.9997
11/16/21,TSLA,0.06,0.821,0.119,0.9997
11/17/21,TSLA,0.044,0.835,0.121,0.9997
11/18/21,TSLA,0.068,0.808,0.125,0.9997
11/19/21,TSLA,0.062,0.808,0.129,0.9998
11/20/21,TSLA,0.057,0.809,0.134,0.9995
11/21/21,TSLA,0.065,0.805,0.13,0.9994
11/22/21,TSLA,0.05,0.829,0.122,0.9997
11/23/21,TSLA,0.055,0.811,0.134,0.9998
11/24/21,TSLA,0.054,0.82,0.126,0.9997
11/25/21,TSLA,0.054,0.786,0.159,0.9996
11/26/21,TSLA,0.068,0.81,0.122,0.9993
11/27/21,TSLA,0.04,0.91,0.05,0.7264
11/28/21,TSLA,0.029,0.806,0.165,0.9996
11/29/21,TSLA,0.053,0.81,0.137,0.9997
11/30/21,TSLA,0.071,0.794,0.135,0.9995
12/1/21,TSLA,0.055,0.825,0.12,0.9997
12/2/21,TSLA,0.055,0.841,0.103,0.9995
12/3/21,TSLA,0.055,0.825,0.12,0.9997
12/4/21,TSLA,0.035,0.836,0.129,0.9996
12/5/21,TSLA,0.038,0.817,0.145,0.9997
